name,population
AK,722718
AL,4802740
AR,2937979
AZ,6482505
CA,37691912
CO,5116796
CT,3580709
DE,907135
FL,19057542
GA,9815210
HI,1374810
IA,3062309
ID,1584985
IL,12869257
IN,6516922
KS,2871238
KY,4369356
LA,4574836
MA,6587536
MD,5828289
ME,1328188
MI,9876187
MN,5344861
MO,6010688
MS,2978512
MT,998199
NC,9656401
ND,683932
NE,1842641
NH,1318194
NJ,8821155
NM,2082224
NV,2723322
NY,19465197
OH,11544951
OK,3791508
OR,3871859
PA,12742886
RI,1051302
SC,4679230
SD,824082
TN,6403353
TX,25674681
UT,2817222
VA,8096604
VT,626431
WA,6830038
WI,5711767
WV,1855364
WY,568158
